Model Xe,Năm Sản Xuất,Gía Tiền,Xuất Xứ,Tình Trạng,Dòng Xe,Số KM Đã Đi,Màu Ngoại Thất,Màu Nội Thất,Số Chỗ Ngồi,Động Cơ,Hệ Thống Nạp Nhiên Liệu,Hộp Số,Dẫn Động,Thành Phố MPG,Cao Tốc MPG,Chiều Dài Cơ Sở,Chiều Dài Xe,Chiều Rộng Xe,Chiều Cao Xe,Độ Nặng,Kích Thước Động Cơ,Tỷ Số Đường Kính Xy Lanh & Pít Tông,Stroke,Mã Lực,Số Vòng Quay Cực Đại,Địa Chỉ
Jaguar F-TYPE R,2021,973935000,Xe nước ngoài,1,Hatchback,27995,Màu vàng,Unknown,4,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,21,27,109.1,157.1,51.8,54.8,2229,124,3.4,2.68,103,5423,Delivery to
Audi A5 2.0T Premium Plus w/ Navigation Package,2023,674521000,Xe nước ngoài,1,Hatchback,5096,Bạc sáng,Unknown,5,Xăng 3.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,18,27,97.2,192.8,50.5,57.3,2818,124,3.14,3.34,142,4645,3079 WALL AVE
Audi A5 2.0T Premium Plus w/ Navigation Package,2023,631350000,Xe nước ngoài,1,Hatchback,5978,Mica đen tuyền,Unknown,4,Xăng ,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,30,103.3,177,55.3,57.6,2074,162,3,3.42,77,4534,3079 WALL AVE
MAZDA MAZDA3 s,2022,619689000,Xe nước ngoài,1,Hatchback,15718,Đen,Đen,5,HybridLai:,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,17,23,113,181.4,53.7,53.9,2507,107,3.35,3.13,139,5379,9903 Bustleton Ave
Subaru Impreza 2.0i Limited w/ Popular Package #2,2022,489900000,Xe nước ngoài,1,Hatchback,30107,Đen,Unknown,5,HybridLanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,17,23,103.6,187.4,51.2,57.5,2833,112,3.53,2.4,81,4457,3512 S Holden Rd
Audi A5 2.0T Premium Plus w/ Navigation Package,2018,469568000,Xe nước ngoài,1,Hatchback,75366,Sơn nhiều lớp màu trắng ngọc trai,Đen/hợp kim,5,Nhiên liệu linh hoạt 2.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,21,26,109.2,191.4,48.5,53.1,2423,98,3,2.86,131,5131,5885 Gender Rd
Toyota Prius Four,2016,413793000,Xe nước ngoài,1,Hatchback,82987,Hội nghị thượng đỉnh trắng,Unknown,4,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,43,47,56.4,178.7,55.4,54.9,2281,115,3.25,2.45,78,4576,1515 S STEMMONS FWY
Honda Civic LX,2019,367724000,Xe nước ngoài,1,Hatchback,154542,Sonic bạc w/mái đen,Đen,4,Nhiên liệu linh hoạt 3.0L,Unknown,Số tay,AWD - 4 bánh toàn thời gian,12,19,99.5,158.1,48.5,56.8,2689,177,3.38,2.48,113,4925,33 West Kemper Road
Mitsubishi Mirage ES,2022,272918000,Xe nước ngoài,1,Hatchback,8080,Áo khoác trắng sáng,Unknown,5,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,16,26,109.6,173.6,48.9,54.9,2396,176,3.3,2.43,129,4838,1117 State Route 32
Kia Soul,2018,2690057000,Xe nước ngoài,1,Hatchback,52723,Áo khoác ngọc trai pha lê đen kim cương,Than đen,4,Nhiên liệu linh hoạt 3.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,12,19,114.6,198.1,50.3,54.3,2488,168,3.13,2.85,119,5203,4400 North Dale Mabry Highway
MAZDA MAZDA3 s Touring,2016,2644057000,Xe nước ngoài,1,Hatchback,252410,Màu xám núi lửa kim loại,Unknown,5,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,14,20,109.4,193.5,52.4,56.4,2429,151,2.97,3.02,145,5264,4400 North Dale Mabry Highway
Mercedes-Benz EQS 580 4MATIC SUV,2023,2092908000,Xe nước ngoài,1,Hatchback,5346,Mã não đen kim loại,Thiếc vừa,4,Hybrid3.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,22,224.3,171.2,50.4,55,2971,105,3.51,3.15,120,5148,3751 BUFORD DR
Mercedes-Benz EQS 580 4MATIC SUV,2023,1104000000,Xe nước ngoài,-1,Hatchback,5496,Đen,Unknown,4,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,12,18,125.4,179.4,53.5,57.7,2546,128,3.18,2.7,72,4539,9301 E R L THORNTON FWY
Tesla Model S Plaid,2022,389275000,Xe nước ngoài,1,Hatchback,15637,Màu đỏ,Đá xám đen / nhạt,5,Xăng 2.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,32,36,53.9,189.1,50.8,54,2595,120,3.24,2.72,89,4394,4160 ATLANTA HWY
Chevrolet Tahoe LT,2021,1195793000,Xe nước ngoài,1,Suv-crossover,111326,Áo khoác trắng sáng,Unknown,6,HybridLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,12,19,134.6,175.1,54.2,57.7,2365,125,3.41,3.48,103,4698,1091 Fremont Pike
Hyundai Kona SEL,2018,1184477000,Xe nước ngoài,1,Suv-crossover,117405,Obsidian,Unknown,5,Nhiên liệu linh hoạt 2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,26,133.4,164.8,52.1,59.4,2090,108,3.54,2.8,85,4583,9207 Adamo Drive East
Jeep Grand Cherokee L Overland w/ Luxury Tech Group IV,2022,1173000000,Xe nước ngoài,1,Suv-crossover,35126,Florett bạc kim loại,Unknown,5,Nhiên liệu linh hoạt 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,14,20,132.3,180.9,48.9,53.3,2570,166,3.52,3.11,132,5277,6252 E Virginia Beach Blvd
Jeep Grand Cherokee L Overland w/ Luxury Tech Group IV,2022,1172977000,Xe nước ngoài,-1,Suv-crossover,29282,Kim loại đen vũ trụ,Xám,6,"Hybrid5,3L",Unknown,Số tự động,AWD - 4 bánh toàn thời gian,16,26,132.3,192.9,56.3,53.5,2879,128,2.98,2.22,128,4854,525 STONE HARBOR BLVD
Porsche Macan,2021,1149977000,Xe nước ngoài,1,Suv-crossover,23547,Đen,Unknown,7,"Xăng 3,8L",Unknown,Số tự động,FWD - Dẫn động cầu trước,19,24,130,160.7,51.7,53.5,2765,104,3.17,3.02,146,5198,20822 KATY FWY
Ford Explorer Limited w/ Equipment Group 301A,2023,1150000000,Xe nước ngoài,1,Suv-crossover,12342,Màu xanh hải lý kim loại,Đen,7,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,36,42,130,159,53.4,57.9,2966,166,2.93,3.46,143,5394,N2484 GREENVILLE DR
Mercedes-Benz GLE 350,2021,1149931000,Xe nước ngoài,1,Suv-crossover,19448,Trắng,Unknown,5,Xăng 2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,26,130,171.8,53.9,55.1,2518,169,3.04,2.73,125,4864,2473 PLEASANT HILL RD
Ford Expedition Platinum,2020,1147700000,Xe nước ngoài,1,Suv-crossover,103283,Moonbeam màu be gặp,Đen,7,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,40,44,129.8,183.7,52.1,55.5,2251,172,3.43,2.82,94,4831,1212 COMMERCE DR
Jeep Wrangler Unlimited Sahara,2021,1145883000,Xe nước ngoài,1,Suv-crossover,46118,Đá mặt trăng trắng,Unknown,5,Xăng 3.5L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,43,48,129.6,167.4,48.3,57.6,2524,111,3.35,2.82,123,5085,3423 OLD NORCROSS RD
Lexus RX 450h AWD w/ Premium Package,2020,1127000000,Xe nước ngoài,1,Suv-crossover,9171,Đen,Unknown,5,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,14,23,127.7,188.6,51.4,54.3,2176,158,3.53,2.83,72,4541,3800 W Hillsborough Ave
Audi SQ5 Prestige w/ Prestige Package,2021,1127000000,Xe nước ngoài,1,Suv-crossover,48326,Từ tính,Đen,7,Xăng 3.5L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,13,17,127.7,165.5,48.1,54,2480,156,3.2,2.77,82,4632,3800 W Hillsborough Ave
Mercedes-Benz GLA 35 AMG 4MATIC,2023,1126954000,Xe nước ngoài,1,Suv-crossover,6510,Ngọc trai xám tảng đá,Unknown,6,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,14,21,127.7,171.9,54.3,56,2056,114,3.37,3.48,128,4803,2130 N FRANKLIN ST
Mercedes-Benz GLE 350,2021,1126885000,Xe nước ngoài,1,Suv-crossover,39552,Đen,Than chì,6,Xăng 2.3L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,24,127.7,176.3,49.5,54.7,2413,97,3.07,2.93,141,5137,410 W INTERSTATE 2
Toyota 4Runner TRD Off-Road Premium w/ Moonroof Package,2022,1116673000,Xe nước ngoài,1,Suv-crossover,16349,Narvik đen,Unknown,5,Xăng 6.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,15,20,126.7,182.1,49.7,59.9,2772,150,3.24,3.39,125,5216,2380 South Highway 89
Toyota Sequoia Platinum,2019,1103793000,Xe nước ngoài,1,Suv-crossover,78762,Hội nghị thượng đỉnh trắng,Đen,7,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,23,125.4,185.4,55.4,53.9,2593,183,3.23,2.82,81,5113,14705 GULF FWY
Lexus RX 450h AWD w/ Luxury Package,2021,1103264000,Xe nước ngoài,1,Suv-crossover,39885,Kim loại đen vũ trụ,Unknown,7,Xăng 5.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,14,21,125.3,197,54.7,54.9,2603,137,2.96,3.28,132,4575,1493 PARK AVE W
INFINITI QX80 Premium Select w/ Cargo Package,2021,1092477000,Xe nước ngoài,-1,Suv-crossover,57494,Mã não đen kim loại,Unknown,5,Xăng 2.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,19,24,124.2,169.4,52.7,58.6,2831,114,3.27,2.33,154,5459,265 River Street
Mercedes-Benz GLE 43 AMG 4MATIC Coupe,2017,1089050000,Xe nước ngoài,1,Suv-crossover,76579,Áo ba lớp ánh kim màu trắng ngôi sao,Đen,6,Xăng 4.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,24,123.9,157.5,48.6,58.1,2163,124,3.55,3.15,125,4468,6627 CARLISLE PIKE
Ford Expedition Limited w/ Equipment Group 301A,2020,1080885000,Xe nước ngoài,1,Suv-crossover,83381,Áo ba lớp ánh kim màu trắng nguyên sơ,Unknown,7,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,16,23,123.1,159.4,53.1,59.3,2024,155,3.25,2.98,140,4424,410 W INTERSTATE 2
Nissan Murano Platinum w/ Cargo Package,2023,1080885000,Xe nước ngoài,-1,Suv-crossover,8112,Oxford trắng,Đen,5,Xăng 3.9L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,123.1,158.5,50.1,53.9,2085,137,3.4,3.43,106,5144,1924 N Paulina St
Lexus GX 460 Premium,2020,1080839000,Xe nước ngoài,1,Suv-crossover,56501,Beluga,Unknown,7,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,25,123.1,173,51.8,58,2213,179,3.33,2.36,84,5229,5455 S University Dr
Land Rover Range Rover Velar S,2020,1069500000,Xe nước ngoài,1,Suv-crossover,40931,Beluga,Xám,5,Xăng 3.9L,Unknown,Số tự động,FWD - Dẫn động cầu trước,39,43,122,187.8,55.6,60,2757,109,2.93,2.23,71,4919,3800 W Hillsborough Ave
Chevrolet Traverse Premier,2023,1055700000,Xe nước ngoài,1,Suv-crossover,4096,Hiệu ứng ngọc trai arancio borealis,Unknown,7,Xăng 2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,35,36,120.6,185.7,52.7,56.9,2264,167,3.43,3.47,124,5104,1210 Northlake Blvd
Mercedes-Benz GLA 35 AMG 4MATIC,2022,1034885000,Xe nước ngoài,1,Suv-crossover,9778,Kim loại trắng carrara,Đen,5,HybridLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,28,35,118.5,161.9,51,54.1,2808,131,3.23,3.41,143,5423,5955 Peachtree Industrial Blv
Ford Expedition Limited,2021,1032792000,Xe nước ngoài,1,Suv-crossover,89851,Trắng,Unknown,7,Hybrid3.9L,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,45,118.3,186.2,55.9,57.1,2496,101,3.38,2.23,126,5370,1432 Highway 45 Bypass
Ford Expedition Limited w/ Special Edition Package,2020,857210000,Xe nước ngoài,1,Suv-crossover,74502,Bạc kim loại mang tính biểu tượng,Đen,6,HybridLanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,35,36,100.7,167.1,52.3,53.4,2256,132,2.93,2.57,102,4697,5925 E HIGHWAY 100
Lincoln Nautilus FWD w/ Premium Package,2023,919885000,Xe nước ngoài,1,Suv-crossover,2720,Sông băng trắng,Unknown,7,Xăng 3.9L,Unknown,Số tự động,RFD - Dẫn động cầu sau,19,26,107,176,56.3,58.4,2708,170,3.38,3.16,81,4715,2171 Laguna Canyon Rd
Ford Mustang GT Premium w/ Equipment Group 401A,2018,5748850000,Xe nước ngoài,1,Convertible,33146,Sông băng trắng,Unknown,4,Xăng 4.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,26,32,589.9,174.9,49.5,53.4,2054,146,2.93,3.5,85,4474,900 E Sunrise Blvd
Mercedes-Benz SL 65 AMG,2005,5748850000,Xe nước ngoài,1,Convertible,102424,Blu cepheus,Unknown,4,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,41,47,589.9,165.9,50.8,57.8,2279,135,3.31,2.91,125,5394,900 E Sunrise Blvd
Bentley Continental GT V8,2021,5681000000,Xe nước ngoài,1,Convertible,8832,Mã não,Unknown,4,Xăng 6.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,34,36,583.1,180.8,51.1,54.3,2592,149,3.08,3.22,76,5194,1001 Clint Moore Rd Ste 101
Bentley Continental GT,2020,5519908000,Xe nước ngoài,1,Convertible,8600,Agate màu xám kim loại,Unknown,4,Xăng 6.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,18,32,567,174.1,52.4,56.8,2470,180,3.11,2.53,99,4478,6010 KENLEY LN
Lamborghini Huracan LP 610-4,2016,5518850000,Xe nước ngoài,1,Convertible,18003,Điểm kim loại màu ôliu đậm,Unknown,4,Xăng 4.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,45,51,566.9,187.6,55.9,59.7,2517,147,3.27,2.94,97,4646,925 W Broward Blvd
Porsche 911 Targa 4S,2021,642712000,Xe nước ngoài,1,Convertible,5264,Ánh trăng,Unknown,4,"Diesel 3,8L",Unknown,Số tự động,AWD - 4 bánh toàn thời gian,45,51,79.3,193.9,54,54.5,2963,143,3.22,2.39,76,4511,10255 NORTH US HWY 31
Rolls-Royce Dawn,2018,5497000000,Xe nước ngoài,1,Convertible,54781,Đen,Đen,4,Xăng 4.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,44,564.7,169.9,50.9,58.8,2210,120,2.99,3.13,102,4490,808 US Route 1 N
Ford Mustang Premium,2021,5404885000,Xe nước ngoài,1,Convertible,61341,Kim loại trắng carrara,Unknown,4,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,28,34,555.5,193.3,52.3,58.6,2024,152,3.1,3.38,147,5427,4025 W CHESTER PIKE
Bentley Continental GT,2020,5289885000,Xe nước ngoài,1,Convertible,13077,Mythos màu đen ánh kim/mái nhà màu đen,Caramel tráng men,4,Xăng 3.9L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,35,36,544,194.5,56.3,57.9,2340,183,2.98,2.37,119,4461,7171 E Chauncy Lane
Bentley Continental GT V8,2020,5289770000,Xe nước ngoài,1,Convertible,3824,Ông nội bianco,Unknown,4,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,33,41,544,167.5,48.8,58,2474,140,3.42,2.98,133,5052,5550 W. Sahara Blvd
Lamborghini Huracan LP 610-4,2017,4945000000,Xe nước ngoài,1,Convertible,21459,Kim loại đen obsidian,Vải đen,4,Xăng 3.9L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,27,509.5,175.6,53.5,56.6,2933,125,3.37,2.65,131,4428,1475 S BARRINGTON RD
Bentley Continental GT V8,2021,4599885000,Xe nước ngoài,1,Convertible,11462,Gt bạc kim loại,Unknown,4,Điện4.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,19,475,168.7,49.8,55,2832,112,3.38,2.88,86,4688,4025 W CHESTER PIKE
Porsche 911 Turbo,2019,4470947000,Xe nước ngoài,1,Convertible,14544,Than chì màu xám magno,Unknown,4,HybridLanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,35,36,462.1,173.6,55.2,54.1,2265,119,3.3,2.71,130,4398,7171 E Chauncy Lane
Porsche 911 Carrera GTS,2022,4438287000,Xe nước ngoài,-1,Convertible,11795,Màu xanh da trời,Màu xám tro trung bình,4,Hybrid3.9L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,16,31,458.8,166.4,52.7,54.1,2191,134,3.13,3.08,110,5266,990 Mansell Rd
Bentley Continental GT V8,2020,4414413000,Xe nước ngoài,1,Convertible,18555,Kim loại đen obsidian,Unknown,4,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,20,26,456.4,164.4,53.8,55.2,2614,140,3.25,3.08,133,4610,6625 CARLISLE PIKE
Porsche 911 Carrera 4 GTS,2022,4369540000,Xe nước ngoài,-1,Convertible,10709,Màu đen tuyền ánh kim,Unknown,4,Xăng 3.9L,Unknown,Số tay,AWD - 4 bánh toàn thời gian,30,34,452,172.2,56.5,53.3,2936,125,2.96,3.23,112,4766,5005 S Tamiami Trl
Porsche 911 Carrera 4 GTS,2022,4358500000,Xe nước ngoài,-1,Convertible,5896,Đen,Đen,4,Xăng 4.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,35,36,450.9,177.1,55,58.2,2053,131,3.47,2.59,120,4694,9160 E DEL CAMINO DR
Audi R8 V10,2022,4024908000,Xe nước ngoài,1,Convertible,3558,Nero,Unknown,4,"Diesel 5,2L",Unknown,Số tự động,AWD - 4 bánh toàn thời gian,30,37,417.5,192.2,55,54.7,2214,127,3.11,2.58,152,4481,6010 KENLEY LN
Ferrari 458 Spider,2013,4020561000,Xe nước ngoài,1,Convertible,47656,Lớp phủ kim loại thép tối đa,Unknown,4,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,35,44,417.1,195.2,56.4,55.5,2063,141,3.49,2.79,116,5058,1900 S FIGUEROA ST
Mercedes-Benz SL 63 AMG 4MATIC,2022,3907700000,Xe nước ngoài,1,Convertible,2949,Áo khoác trắng sáng,Đen,4,Xăng 3.8L,Unknown,Số tay,AWD - 4 bánh toàn thời gian,22,30,405.8,175.2,52,57.8,3036,122,3.21,2.71,101,5450,1637 W KNUDSEN DR
Porsche 911 Turbo,2019,3898500000,Xe nước ngoài,-1,Convertible,5766,Mã não đen kim loại,Unknown,4,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,24,404.9,164.7,51.8,55.6,2542,132,3.07,3.33,71,4556,9234 PERRY HWY
Mercedes-Benz AMG GT C,2018,3790400000,Xe nước ngoài,1,Convertible,2720,Thiên bạc,Unknown,4,Điện3.8L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,13,18,394,169,52.2,58.2,2702,171,3.15,2.64,114,4848,27 W 110 North Ave
McLaren 570S Spider,2018,3748977000,Xe nước ngoài,1,Convertible,24821,Bắc cực trắng,Unknown,4,HybridLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,12,19,389.9,179.6,48.4,59.4,2250,148,3.18,2.75,123,5432,4007 GREENBRIAR DR
Mercedes-Benz SL 63 AMG 4MATIC,2022,3679816000,Xe nước ngoài,1,Convertible,2718,Oxford trắng,Unknown,4,Điện5.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,17,22,383,191.4,55.1,53.2,2941,136,3.09,2.78,117,4990,311 Ogden Ave.
Porsche 911 Turbo S,2017,3679770000,Xe nước ngoài,-1,Convertible,34186,Ngọc gió lạnh,Unknown,4,Xăng Lanh,Unknown,Số tay,FWD - Dẫn động cầu trước,15,20,383,170.3,56.7,53.2,2245,183,3.57,3.44,143,4433,11875 Alpharetta Hwy
Porsche 911 Carrera,2022,638710000,Xe nước ngoài,-1,Convertible,2902,Ngọc trai bão tuyết,Unknown,4,Điện3.9L,Unknown,Số tự động,FWD - Dẫn động cầu trước,13,18,78.9,171.9,51.1,56,2604,95,3.51,2.42,153,5350,2235 N MAIN ST
Ferrari California T,2015,811877000,Xe nước ngoài,-1,Convertible,18403,Oxford trắng,Unknown,4,Điện3.6L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,28,38,96.2,182.2,56.1,58.8,2655,106,3.17,2.19,88,5153,602 8TH ST
Chrysler Pacifica Touring w/ S Appearance Package,2020,1494885000,Xe nước ngoài,1,Van-minivan,66125,Oxford trắng,Đen carbon w/ cam mclaren,6,Điện2.4L,Unknown,Số tự động,FWD - Dẫn động cầu trước,24,29,164.5,184.8,55,55.7,2241,177,3.54,2.43,117,5358,1000 BUSINESS 28
Chrysler Pacifica Limited,2021,1493643000,Xe nước ngoài,1,Van-minivan,114254,Trắng,Unknown,7,Xăng 3.6L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,20,164.4,181.7,48.6,56.4,2463,176,3.15,3.2,144,4971,949 Eddie Dowling Hwy
Ford Transit 150 Low Roof AWD w/ Exterior Upgrade Package,2020,1471793000,Xe nước ngoài,1,Van-minivan,33397,Bắc cực trắng,Đen carbon/đỏ harissa,7,Xăng 3.6L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,17,22,162.2,159.7,56.7,58.6,2903,113,3.19,2.95,71,4535,17510 I-45 North
Toyota Sienna Limited,2023,1458200000,Xe nước ngoài,1,Van-minivan,13808,Sơn đặc biệt,Unknown,7,Xăng 3.6L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,15,22,160.8,185.2,48.5,59.6,2199,128,3.38,2.28,124,4510,1287 HOOKSETT RD
Mercedes-Benz Sprinter 2500,2023,1448770000,Xe nước ngoài,1,Van-minivan,2349,Oxford trắng,Unknown,6,Xăng 2.4L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,22,159.9,173.1,54,58.1,2186,95,3.12,2.97,151,4622,8805 Wayzata Boulevard
Ford Transit 350 XLT,2021,1048593000,Xe nước ngoài,1,Van-minivan,30643,Màu xanh jean kim loại,Unknown,7,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,14,18,119.9,178.9,48.5,53.8,2167,150,3.18,2.95,73,5234,6300 West Sahara Avenue
Toyota Sienna Platinum,2022,1445895000,Xe nước ngoài,-1,Van-minivan,22598,Trắng,Unknown,5,Điện3.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,20,159.6,184.3,56.8,57.9,2743,178,3.45,2.44,155,4632,2300 W Cumberland St
Toyota Sienna XLE Premium,2020,1402954000,Xe nước ngoài,-1,Van-minivan,25589,Bạc,Nero vũ trụ,6,Xăng 2.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,22,155.3,166.6,49.8,57.9,2452,126,3.21,3.07,90,4815,1030 Schaeffer Rd
Ford Transit 250 Medium Roof w/ Load Area Protection Package,2023,1379977000,Xe nước ngoài,1,Van-minivan,416,Hội nghị thượng đỉnh trắng,Unknown,5,"Hybrid4,8L",Unknown,Số tự động,FWD - Dẫn động cầu trước,15,20,153,157.4,57,53.1,2965,96,3.13,2.81,84,4590,460 E AUTO CENTER DR
Ford Transit 350 XLT,2021,1379885000,Xe nước ngoài,1,Van-minivan,83546,Quần jean màu xanh kim loại,Unknown,7,Hybrid3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,20,153,172.7,56.1,59.9,2344,95,3.51,3.15,80,5002,220 Route 46 East
Ford Transit 250 Medium Roof AWD w/ Interior Upgrade Package,2022,1379885000,Xe nước ngoài,1,Van-minivan,36205,Oxford trắng,Đen,7,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,22,153,158.7,50.2,57.9,2933,171,3.44,2.66,121,4994,638 N. Main St
Mercedes-Benz Sprinter 2500,2023,1379885000,Xe nước ngoài,1,Van-minivan,1056,Nửa đêm đen,Unknown,6,Hybrid3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,15,22,153,168.6,52.6,59.7,2852,104,2.99,3.32,155,5326,6200 North Loop East
Chevrolet Express 4500 w/ Shuttle Bus Package,2015,1379885000,Xe nước ngoài,1,Van-minivan,38320,Oxford trắng,Unknown,6,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,14,20,153,190.1,55.1,54.1,2779,160,3.42,2.93,151,4847,2600 Access Rd NW
Ford E-450 and Econoline 450 Super Duty,2022,1333977000,Xe nước ngoài,-1,Van-minivan,2704,Màu xanh xám,Unknown,7,Xăng 3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,9,14,148.4,178.5,52.7,59.1,3020,119,3.18,3.48,123,5428,1853 BURLINGTON MOUNT HOLLY R
"Ford Transit 350 148"" High Roof Extended Wagon",2017,1333448000,Xe nước ngoài,1,Van-minivan,26272,Oxford trắng,Unknown,6,"Điện5,3L",Unknown,Số tự động,FWD - Dẫn động cầu trước,15,20,148.3,193.7,52.4,57.4,2337,112,3.05,3.37,85,4382,4600 Division St
Ford Transit 350 XLT,2021,1331700000,Xe nước ngoài,1,Van-minivan,63438,Mica xám trước bình minh,Unknown,6,Xăng 3.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,12,19,148.2,165,52.3,57.6,2851,153,3.54,2.97,132,5373,8351 Parkway Drive
Toyota Sienna Platinum,2022,1322500000,Xe nước ngoài,1,Van-minivan,22560,Trắng,Đen,6,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,22,147.3,194.8,50.9,59.5,2072,99,3.24,2.28,117,5142,849 West Street Road
GMC Savana 3500 LS,2023,1320200000,Xe nước ngoài,1,Van-minivan,12560,Oxford trắng,Unknown,7,Xăng 3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,20,147,194.9,54,58.5,2726,113,3.3,2.46,69,4500,1287 HOOKSETT RD
Ford Transit 350 XLT,2021,1287931000,Xe nước ngoài,1,Van-minivan,80398,Riverside blue kim loại,Unknown,5,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,12,21,143.8,187.6,48.1,58,2512,129,3.36,2.88,132,4503,255 West Pershing Road
Ford Transit 350 XLT,2021,1274200000,Xe nước ngoài,1,Van-minivan,54765,Gò xoài,Unknown,5,Xăng ,Unknown,Số tự động,FWD - Dẫn động cầu trước,27,36,142.4,194.7,49.7,59.6,2700,156,3.13,3.22,100,4442,1287 HOOKSETT RD
Toyota Sienna Limited,2023,1264885000,Xe nước ngoài,-1,Van-minivan,3954,Bianco icarus kim loại,Đen,6,Xăng Lai:,Unknown,Số tự động,FWD - Dẫn động cầu trước,30,38,141.5,174.5,53.3,57.1,2301,171,3.04,2.32,90,4992,4050 Weston Rd
